5,30,40,140,50,25,120,85,5,75,10,10,10,55,20,5,100,5,5,105
40,65,5,30,40,140,50,25,120,85,5,75,10,10,10,55,20,5,100,5
35,10,130,5,50,45,5,5,25,130,60,20,10,10,25,20,5,5,10,45
5,50,5,10,15,15,5,15,40,10,130,5,50,45,5,5,25,130,60,20
65,20,25,100,25,15,10,5,20,25,5,70,20,70,110,5,5,10,40,135
70,20,25,100,25,15,10,5,20,25,5,70,20,70,110,5,5,10,40,135
5,15,15,10,90,5,110,20,20,25,5,115,5,5,15,20,20,705,10,5
5,10,15,155,10,15,105,10,5,50,10,10,45,5,15,15,10,90,5,110
50,10,55,30,25,20,40,50,5,10,10,15,155,10,15,105,10,5,50,10
35,20,25,30,90,20,15,5,60,20,5,25,5,10,50,60,20,20,20,60
15,20,10,10,50,5,5,5,5,10,10,20,25,10,75,55,5,140,40,5
120,50,20,10,10,50,5,5,5,5,10,10,20,25,10,75,55,5,140,40
10,75,55,110,20,5,20,20,10,5,50,145,10,130,50,20,10,10,50,5
25,20,5,10,10,105,5,5,20,205,10,110,95,5,10,30,45,10,5,15
40,5,30,25,20,5,10,10,105,5,5,20,205,10,110,95,5,10,30,45
25,80,5,10,100,15,10,150,5,30,105,10,10,10,5,100,10,10,20,30
80,10,20,10,10,35,65,15,25,15,5,30,80,5,10,100,15,10,150,5
35,95,20,25,20,10,25,50,20,30,100,5,55,80,20,20,5,40,10,30
40,75,20,50,95,20,25,20,10,25,50,20,30,100,5,55,80,20,20,5
40,95,50,5,10,15,5,5,20,10,20,5,20,25,10,5,5,20,5,200
45,95,50,5,10,15,5,5,20,10,20,5,20,25,10,5,5,20,5,200
10,10,5,15,30,10,25,70,10,5,20,115,85,5,35,15,25,95,5,95
30,5,15,15,10,10,20,10,5,20,5,15,10,30,45,65,10,5,5,25
45,5,15,15,10,10,20,10,5,20,5,15,10,30,45,65,10,5,5,25
10,5,10,20,50,5,15,15,10,10,20,10,5,20,5,15,10,30,45,65
10,50,5,345,10,5,10,20,50,5,15,15,10,10,20,10,5,20,5,15
5,15,5,30,5,35,20,65,25,20,25,50,5,345,10,5,10,20,50,5
5,5,30,5,15,5,30,5,35,20,65,25,20,25,50,5,345,10,5,10
5,90,60,5,10,25,10,10,5,20,10,10,5,15,10,15,20,35,65,10
10,90,60,5,10,25,10,10,5,20,10,10,5,15,10,15,20,35,65,10
65,25,25,5,15,15,5,5,35,155,110,5,5,5,25,25,20,100,25,5
10,5,110,10,40,5,5,60,5,100,5,50,5,35,10,105,105,25,25,5
15,50,20,10,65,5,35,5,5,15,15,5,110,10,40,5,5,60,5,100
30,50,20,10,65,5,35,5,5,15,15,5,110,10,40,5,5,60,5,100
40,25,110,50,20,10,65,5,35,5,5,15,15,5,110,10,40,5,5,60
5,10,10,10,60,20,60,20,105,115,5,5,10,5,5,15,5,85,40,55
5,5,5,10,5,5,10,30,100,25,5,5,10,10,10,60,20,60,20,105
25,5,5,10,5,5,10,30,100,25,5,5,10,10,10,60,20,60,20,105
45,10,40,50,5,20,35,15,45,65,5,75,10,25,20,10,70,10,25,5
45,100,5,5,5,50,10,40,50,5,20,35,15,45,65,5,75,10,25,20
50,100,5,5,5,50,10,40,50,5,20,35,15,45,65,5,75,10,25,20
90,100,5,5,5,50,10,40,50,5,20,35,15,45,65,5,75,10,25,20
95,100,5,5,5,50,10,40,50,5,20,35,15,45,65,5,75,10,25,20
10,50,30,10,5,20,20,20,50,15,55,5,85,85,10,35,40,15,5,10
10,10,10,5,80,5,50,70,5,5,10,50,25,15,10,10,5,5,10,40
10,30,5,5,5,20,40,10,10,10,5,80,5,50,70,5,5,10,50,25
25,50,5,5,25,5,20,30,5,5,5,20,40,10,10,10,5,80,5,50
5,15,340,120,10,45,10,20,1050,45,15,65,60,5,10,5,10,5,405,105
40,5,15,5,10,5,10,90,20,5,5,75,10,15,35,10,5,10,110,105
35,5,275,5,5,15,35,50,40,105,5,25,5,110,135,135,15,50,40,10
5,25,10,5,90,40,60,10,5,10,860,10,25,50,1600,20,15,15,10,10
15,145,60,50,50,20,5,30,100,200,10,5,25,135,40,5,5,5,30,5
25,145,60,50,50,20,5,30,100,200,10,5,25,135,40,5,5,5,30,5
10,65,5,5,70,5,5,25,55,35,5,15,10,40,20,120,110,20,120,125
